"ref_id","ref_code","first_author","ref_year","title","ref_type","citation_bibtex"
175,"snelderSmallholderTreeGrowing2008","Snelder",2008,"Smallholder Tree Growing for Rural Development and Environmental Services: Lessons from Asia","Survey of gardens, farms, or lawns","@book{snelderSmallholderTreeGrowing2008, title = {Smallholder {{Tree Growing}} for {{Rural Development}} and {{Environmental Services}}: {{Lessons}} from {{Asia}}}, shorttitle = {Smallholder {{Tree Growing}} for {{Rural Development}} and {{Environmental Services}}}, editor = {Snelder, Denyse J. and Lasco, Rodel D. and Nair, P. K. R.}, year = {2008}, series = {Advances in {{Agroforestry}}}, volume = {5}, publisher = {Springer Netherlands}, address = {Dordrecht}, doi = {10.1007/978-1-4020-8261-0}, url = {http://link.springer.com/10.1007/978-1-4020-8261-0}, urldate = {2021-12-02}, isbn = {978-1-4020-8260-3 978-1-4020-8261-0}, langid = {english} }"
176,"poot-poolHomeGardenAgrobiodiversity2015","Poot-Pool",2015,"Home garden agrobiodiversity differentiates along a rural—peri–urban gradient in Campeche, México","Survey of gardens, farms, or lawns","@article{poot-poolHomeGardenAgrobiodiversity2015, title = {Home garden agrobiodiversity differentiates along a rural---peri--urban gradient in {{Campeche}}, {{M{\'e}xico}}}, author = {{Poot--Pool}, Wilbert Santiago and {van der Wal}, Hans and {Flores--Guido}, Salvador and {Pat--Fern{\'a}ndez}, Juan Manuel and {Esparza--Olgu{\'i}n}, Ligia}, year = {2015}, month = sep, journal = {Economic Botany}, volume = {69}, number = {3}, pages = {203--217}, issn = {0013-0001, 1874-9364}, doi = {10.1007/s12231-015-9313-z}, url = {http://link.springer.com/10.1007/s12231-015-9313-z}, urldate = {2021-12-01}, langid = {english} }"
177,"coomesCultivatedPlantSpecies2004","Coomes",2004,"Cultivated plant species diversity in home gardens of an Amazonian peasant village in northeastern Peru","Survey of gardens, farms, or lawns","@article{coomesCultivatedPlantSpecies2004, title = {Cultivated plant species diversity in home gardens of an {{Amazonian}} peasant village in northeastern {{Peru}}}, author = {Coomes, Oliver T. and Ban, Natalie}, year = {2004}, month = sep, journal = {Economic Botany}, volume = {58}, number = {3}, pages = {420--434}, issn = {0013-0001}, doi = {10.1663/0013-0001(2004)058[0420:CPSDIH]2.0.CO;2}, url = {https://link.springer.com/article/10.1663/0013-0001(2004)058%5B0420:CPSDIH%5D2.0.CO;2}, urldate = {2021-12-10}, langid = {english} }"
179,"aworindeRelationshipSpeciesComposition2014","Aworinde",2014,"Relationship between species composition and homegarden size in Odeda LGA of Ogun State Nigeria","Survey of gardens, farms, or lawns","@article{aworindeRelationshipSpeciesComposition2014, title = {Relationship between species composition and homegarden size in {{Odeda LGA}} of {{Ogun State Nigeria}}}, author = {Aworinde, Do and Erinoso, Sm}, year = {2014}, month = jan, journal = {Bayero Journal of Pure and Applied Sciences}, volume = {6}, number = {2}, pages = {10}, issn = {2006-6996, 2006-6996}, doi = {10.4314/bajopas.v6i2.3}, url = {http://www.ajol.info/index.php/bajopas/article/view/100020}, urldate = {2023-04-24}, langid = {english} }"
184,"lerchHomeGardensCultivated1999","Lerch",1999,"Home Gardens, Cultivated Plant Diversity, and Exchange of Planting Material in the Pacaya-Samiria National Reserve Area, Northeastern Peruvian Amazon","Survey of gardens, farms, or lawns","@mastersthesis{lerchHomeGardensCultivated1999, title = {Home {{Gardens}}, {{Cultivated Plant Diversity}}, and {{Exchange}} of {{Planting Material}} in the {{Pacaya-Samiria National Reserve Area}}, {{Northeastern Peruvian Amazon}}}, author = {Lerch, Natalie Corinna}, year = {1999}, address = {Montreal}, school = {McGill University} }"
185,"rayolTreePalmDiversity2019","Rayol",2019,"Tree and palm diversity in homegardens in the Central Amazon","Survey of gardens, farms, or lawns","@article{rayolTreePalmDiversity2019, title = {Tree and palm diversity in homegardens in the {{Central Amazon}}}, author = {Rayol, Breno Pinto and Do Vale, Igor and Miranda, Izildinha Souza}, year = {2019}, month = apr, journal = {Agroforestry Systems}, volume = {93}, number = {2}, pages = {515--529}, issn = {0167-4366, 1572-9680}, doi = {10.1007/s10457-017-0144-z}, url = {http://link.springer.com/10.1007/s10457-017-0144-z}, urldate = {2021-11-30}, langid = {english} }"
189,"lamontSpeciesCompositionDiversity1999","Lamont",1999,"Species composition, diversity, and use of homegardens among three Amazonian villages","Survey of gardens, farms, or lawns","@article{lamontSpeciesCompositionDiversity1999, title = {Species composition, diversity, and use of homegardens among three {{Amazonian}} villages}, author = {Lamont, Susan R. and Eshbaugh, W. Hardy and Greenberg, Adolph M.}, year = {1999}, month = jul, journal = {Economic Botany}, volume = {53}, number = {3}, pages = {312--326}, issn = {0013-0001, 1874-9364}, doi = {10.1007/BF02866644}, url = {http://link.springer.com/10.1007/BF02866644}, urldate = {2021-11-16}, langid = {english} }"
191,"vlkovaEthnobotanicalKnowledgeAgrobiodiversity2011","Vlkova",2011,"Ethnobotanical knowledge and agrobiodiversity in subsistence farming: case study of home gardens in Phong My commune, central Vietnam","Survey of gardens, farms, or lawns","@article{vlkovaEthnobotanicalKnowledgeAgrobiodiversity2011, title = {Ethnobotanical knowledge and agrobiodiversity in subsistence farming: case study of home gardens in {{Phong My}} commune, central {{Vietnam}}}, shorttitle = {Ethnobotanical knowledge and agrobiodiversity in subsistence farming}, author = {Vlkova, Martina and Polesny, Zbynek and Verner, Vladimir and Banout, Jan and Dvorak, Marek and Havlik, Jaroslav and Lojka, Bohdan and Ehl, Petr and Krausova, Jitka}, year = {2011}, month = jun, journal = {Genetic Resources and Crop Evolution}, volume = {58}, number = {5}, pages = {629--644}, issn = {0925-9864, 1573-5109}, doi = {10.1007/s10722-010-9603-3}, url = {http://link.springer.com/10.1007/s10722-010-9603-3}, urldate = {2021-11-29}, langid = {english} }"
195,"declerkPlantSpeciesTraditional2000","De Clerk",2000,"Plant species of traditional Mayan homegardens of Mexico as analogs for multistrata agroforests","Survey of gardens, farms, or lawns","@article{declerkPlantSpeciesTraditional2000, title = {Plant species of traditional {{Mayan}} homegardens of {{Mexico}} as analogs for multistrata agroforests}, author = {De Clerk, F. A. J. and {Negreros-Castillo}, P.}, year = {2000}, journal = {Agroforestry Systems}, volume = {48}, pages = {303--317}, langid = {english} }"
197,"rahmanCultivatedPlantsDiversified2013","Rahman",2013,"Cultivated plants in the diversified homegardens of local communities in Ganges Valley, Bangladesh","Survey of gardens, farms, or lawns","@article{rahmanCultivatedPlantsDiversified2013, title = {Cultivated plants in the diversified homegardens of local communities in {{Ganges Valley}}, {{Bangladesh}}}, author = {Rahman, Syed Ajijur and Baldauf, Cristina and Mollee, Eefke Maria and {Abdullah-Al-Pavel}, {\relax Muha}. and {Abdullah-Al-Mamun}, {\relax Md}. and Toy, Mahmudul Mannan and Sunderland, Terry}, year = {2013}, month = oct, journal = {Science Journal of Agricultural Research and Management}, volume = {2013}, issn = {22768572}, doi = {10.7237/sjarm/197}, url = {http://www.sjpub.org/sjar/abstract/sjarm-197.html}, urldate = {2021-11-30}, langid = {english} }"
198,"deviPlantSpeciesDiversity2010","Devi",2010,"Plant species diversity in the traditional homegardens of Meitei community: a case study from Barak Valley, Assam","Survey of gardens, farms, or lawns","@article{deviPlantSpeciesDiversity2010, title = {Plant species diversity in the traditional homegardens of {{Meitei}} community: a case study from {{Barak Valley}}, {{Assam}}}, author = {Devi, N. Linthoingambi and Das, Ashesh Kumar}, year = {2010}, journal = {Journal of Tropical Agriculture}, volume = {48}, number = {1-2}, pages = {45--48}, langid = {english} }"
201,"bansalEthnomedicinalExplorationOrnamental2022","Bansal",2022,"Ethnomedicinal exploration of ornamental flora of Aravalli hill ranges of Rewari district of Haryana, India","Survey of gardens, farms, or lawns","@article{bansalEthnomedicinalExplorationOrnamental2022, title = {Ethnomedicinal exploration of ornamental flora of {{Aravalli}} hill ranges of {{Rewari}} district of {{Haryana}}, {{India}}}, author = {Bansal, P and Rao, A S and Yadav, S S and Bhandoria, M S and Narasimhan, B and Dash, S S}, year = {2022}, journal = {International Journal of Pharmaceutical Sciences and Research}, volume = {13}, number = {7}, pages = {2951--2976}, langid = {english} }"
202,"fernandesIndigenousAgricultureBeginning2022","Fernandes",2022,"Indigenous agriculture at the beginning of the twenty-first century: the Guaraní Mbyás minority conserves ethnoknowledge and agrobiodiversity within the remnants of the Brazilian Atlantic Forest","Survey of gardens, farms, or lawns","@article{fernandesIndigenousAgricultureBeginning2022, title = {Indigenous agriculture at the beginning of the twenty-first century: the {{Guaran{\'i} Mby{\'a}s}} minority conserves ethnoknowledge and agrobiodiversity within the remnants of the {{Brazilian Atlantic Forest}}}, shorttitle = {Indigenous agriculture at the beginning of the twenty-first century}, author = {Fernandes, Lucas Mazzero and Visscher, Anna Maria and {do Couto}, Hilton Thadeu Zarato and Marcusso, Gabriel Mendes and Righi, Ciro Abbud}, year = {2022}, month = dec, journal = {Agroforestry Systems}, volume = {96}, number = {8}, pages = {1211--1224}, issn = {0167-4366, 1572-9680}, doi = {10.1007/s10457-022-00780-5}, url = {https://link.springer.com/10.1007/s10457-022-00780-5}, urldate = {2022-11-24}, langid = {english} }"
