"taxon_name","taxon_authors","accepted_plant_name_id","number_records","number_tdwg3"
"Acer erianthum","Schwer.",2615607,14,8
"Acer fabri","Hance",2615616,11,8
"Acer fenzelianum","Hand.-Mazz.",2615627,0,0
"Acer campbellii subsp. flabellatum","(Rehder) A.E.Murray",2615438,10,7
"Acer forrestii","Diels",2615640,26,15
"Acer fulvescens","Rehder",2615650,3,3
"Acer gracilifolium","W.P.Fang & C.C.Fu",2615686,0,0
"Acer griseum","(Franch.) Pax",2615692,196,50
"Acer henryi","Pax",2615711,56,26
"Acer hilaense","Hu & W.C.Cheng",2615720,0,0
"Acer komarovii","Pojark.",2615811,14,8
"Acer kungshanense","W.P.Fang & C.Y.Chang",2615813,0,0
"Acer kuomeii","W.P.Fang & M.Y.Fang",2615815,0,0
"Acer kwangnanense","Hu & W.C.Cheng",2615816,0,0
"Acer kweilinense","W.P.Fang & M.Y.Fang",2615818,0,0
"Acer laevigatum","Wall.",2615828,17,8
"Acer laurinum","Hassk.",2615844,8,6
"Acer laxiflorum","Pax",2615848,34,12
"Acer leipoense","W.P.Fang & Soong",2615857,0,0
"Acer longipes","Franch. ex Rehder",2615884,13,9
"Acer lucidum","F.P.Metcalf",2615894,0,0
"Acer lungshengense","W.P.Fang & L.C.Hu",2615895,0,0
"Acer mandshuricum","Maxim.",2615913,57,28
"Acer maximowiczii","Pax",2615925,25,12
"Acer metcalfii","Rehder",2615931,1,1
"Acer miaoshanicum","W.P.Fang",2615934,0,0
"Acer miyabei subsp. miaotaiense","(P.C.Tsoong) A.E.Murray",2615946,6,6
"Acer morrisonense","Hayata",2616010,13,10
"Parthenocissus tricuspidata","(Siebold & Zucc.) Planch.",2548140,391,64
"Acer oblongum","Wall. ex DC.",2616086,39,25
"Acer oligocarpum","W.P.Fang & L.C.Hu",2616105,0,0
"Acer oliverianum","Pax",2616107,34,17
"Acer paihengii","W.P.Fang",2616149,0,0
"Acer pauciflorum","W.P.Fang",2616190,15,12
"Acer paxii","Franch.",2616195,8,4
"Acer pectinatum","Wall. ex Brandis",2606054,0,0
"Acer pentaphyllum","Diels",2616212,16,11
"Acer pictum","Thunb.",2616218,88,27
"Acer pilosum","Maxim.",2616248,2,2
"Acer pinnatinervium","Merr.",2616250,0,0
"Acer poliophyllum","W.P.Fang & Y.T.Wu",2616264,0,0
"Acer pseudosieboldianum","(Pax) Kom.",2616285,41,18
"Acer pubinerve","Rehder",2616296,4,3
"Acer pubipetiolatum","Hu & W.C.Cheng",2616301,0,0
"Acer serrulatum","Hayata",2616444,11,9
"Acer shenkanense","W.P.Fang ex C.C.Fu",2616448,5,3
"Acer shihweii","F.Chun & W.P.Fang",2616451,0,0
"Acer sikkimense","Miq.",2616464,22,11
"Acer sinense","Pax",2616468,11,8
"Acer sino-oblongum","F.P.Metcalf",2616476,2,1
"Acer sinopurpurascens","W.C.Cheng",2616477,7,6
"Acer stachyophyllum","Hiern",2616485,60,23
"Acer sterculiaceum","Wall.",2616495,14,6
"Acer sutchuenense","Franch.",2616512,0,0
"Acer sycopseoides","Chun",2616514,0,0
"Acer tataricum","L.",2616524,340,64
"Acer tegmentosum","Maxim.",2616545,71,24
"Acer tenellum","Pax",2616553,4,3
"Acer thomsonii","Miq.",2616560,2,2
"Acer tibetense","W.P.Fang",2616562,0,0
"Acer tonkinense","Lecomte",2616567,2,2
"Acer triflorum","Kom.",2616582,82,31
"Acer truncatum","Bunge",2616594,77,35
"Acer tsinglingense","W.P.Fang & C.C.Hsieh",2616602,5,5
"Acer tutcheri","Duthie",2616605,0,0
"Acer ukurunduense","Trautv. & C.A.Mey.",2616611,30,13
"Acer wangchii","W.P.Fang",2616633,0,0
"Acer wardii","W.W.Sm.",2616635,3,3
"Acer wilsonii","Rehder",2616637,14,11
"Acer yangbiense","Y.S.Chen & Q.E.Yang",2616650,0,0
"Acer yinkunii","W.P.Fang",2616653,0,0
"Acer yui","W.P.Fang",2616654,0,0
"Achillea acuminata","(Ledeb.) Sch.Bip.",3109677,1,
"Achillea alpina","L.",2906148,26,14
"Achillea asiatica","Serg.",3109741,2,2
"Achillea impatiens","L.",3109963,19,14
"Achillea ledebourii","Heimerl",3109980,0,0
"Achillea ptarmicoides","Maxim.",3110134,3,3
"Achillea salicifolia","Besser",3110151,5,3
"Achillea setacea","Waldst. & Kit.",2908241,26,11
"Achillea wilsoniana","(Heimerl ex Hand.-Mazz.) Hand.-Mazz.",3110215,0,0
"Achnatherum brandisii","(Mez) Z.L.Wu",387252,6,4
"Stipa conferta","Poir.",444911,4,2
"Oryzopsis chinensis","Hitchc.",426755,0,0
"Stipa chingii","Hitchc.",444870,0,0
"Patis coreana","(Honda) Ohwi",432516,0,0
"Ptilagrostis duthiei","(Hook.f.) M.Nobis & P.D.Gudkova",535554,0,0
"Stipa henryi","Rendle",445106,0,0
"Achnatherum inebrians","(Hance) Keng",387288,0,0
"Achnatherum jacquemontii","(Jaub. & Spach) P.C.Kuo & S.L.Lu",387289,1,1
"Achnatherum nakaii","(Honda) Tateoka",387302,0,0
"Achnatherum pekinense","(Hance) Ohwi",387140,12,7
"Achnatherum pubicalyx","(Ohwi) Keng f. ex P.C.Kuo",387147,0,0
"Timouria saposhnikowii","Roshev.",446605,0,0
"Achnatherum sibiricum","(L.) Keng ex Tzvelev",387154,20,9
"Neotrinia splendens","(Trin.) M.Nobis, P.D.Gudkova & A.Nowak",534865,21,9
"Achyranthes aspera","L.",2617475,44,24
"Achyranthes bidentata","Blume",2617516,12,7
"Achyrospermum densiflorum","Blume",1821,1,1
"Acidosasa breviclavata","W.T.Lin",387335,0,0
"Acidosasa glauca","B.M.Yang",387344,0,0
"Acidosasa chinensis","C.D.Chu & C.S.Chao",387337,0,0
"Acidosasa edulis","(T.H.Wen) T.H.Wen",387341,0,0
"Acidosasa guangxiensis","Q.H.Dai & C.F.Huang",387346,0,0
"Acidosasa lingchuanensis","(C.D.Chu & C.S.Chao) Q.Z.Xie & X.Y.Chen",387350,0,0
"Acidosasa nanunica","(McClure) C.S.Chao & G.Y.Yang",387355,0,0
"Acidosasa notata","(Z.P.Wang & G.H.Ye) S.S.You",387356,0,0
"Acidosasa purpurea","(Hsueh f. & T.P.Yi) Keng f.",387358,0,0
"Acidosasa venusta","(McClure) Z.P.Wang & G.H.Ye ex Ohrnb. & Goerrings",387359,0,0
"Acmella calva","(DC.) R.K.Jansen",3123706,2,2
"Acmella paniculata","(Wall. ex DC.) R.K.Jansen",3123804,5,4
"Geum elatum","Wall. ex G.Don",2949246,7,5
"Geum macrosepalum","Ludlow",2949379,0,0
"Aconitum abietetorum","W.T.Wang & L.Q.Li",2618326,0,0
"Aconitum acutiusculum","H.R.Fletcher & Lauener",2618332,0,0
"Aconitum alboflavidum","W.T.Wang",2618345,0,0
"Aconitum alboviolaceum","Kom.",2618346,7,3
"Aconitum alpinonepalense","Tamura",2618354,0,0
"Aconitum ambiguum","Rchb.",2618360,0,0
"Aconitum anthora","L.",2618374,66,23
"Aconitum apetalum","(Huth) B.Fedtsch.",2618386,1,1
"Aconitum hemsleyanum var. hemsleyanum",,3261588,3,3
"Aconitum bailangense","Y.Z.Zhao",2618414,0,0
"Aconitum barbatum","Patrin ex Pers.",2618419,17,7
"Aconitum kusnezoffii","Rchb.",2618937,7,5
"Aconitum brachypodum","Diels",2618451,2,1
"Aconitum bracteolatum","Lauener",2618454,0,0
"Aconitum refractum","(Finet & Gagnep.) Hand.-Mazz.",2619434,0,0
"Aconitum brevicalcaratum","(Finet & Gagnep.) Diels",2618458,0,0
"Aconitum brevilimbum","Lauener",2618461,0,0
"Aconitum brevipetalum","W.T.Wang",2618462,0,0
"Aconitum brunneum","Hand.-Mazz.",2618464,0,0
"Aconitum bulbilliferum","Hand.-Mazz.",2618469,2,2
"Aconitum bulleyanum","Diels",2618473,1,1
"Aconitum campylorrhynchum","Hand.-Mazz.",2618495,0,0
"Aconitum cannabifolium","Franch. ex Finet & Gagnep.",2618500,0,0
"Aconitum carmichaelii","Debeaux",2618501,131,38
"Aconitum scaposum","Franch.",2619476,4,3
"Aconitum changianum","W.T.Wang",2618521,0,0
"Aconitum chasmanthum","Stapf ex Holmes",2618523,4,3
"Aconitum chayuense","W.T.Wang",2618526,0,0
"Aconitum chiachaense","W.T.Wang",2618529,0,0
"Aconitum kongboense var. kongboense",,3261594,0,0
"Aconitum chilienshanicum","W.T.Wang",2618534,0,0
"Aconitum chrysotrichum","W.T.Wang",2618540,0,0
"Aconitum chuianum","W.T.Wang",2618541,0,0
"Aconitum contortum","Finet & Gagnep.",2618573,0,0
"Aconitum coreanum","(H.Lév.) Rapaics",2618577,3,3
"Aconitum geniculatum","H.R.Fletcher & Lauener",2618749,0,0
"Aconitum duclouxii var. duclouxii",,3261583,0,0
"Aconitum crassiflorum","Hand.-Mazz.",2618585,3,2
"Aconitum naviculare","(Brühl) Stapf",2619222,0,0
"Aconitum daxinganlinense","Y.Z.Zhao",2618599,0,0
"Aconitum delavayi","Franch.",2618614,4,3
"Aconitum diqingens","Q.E.Yang & Z.D.Fang",2618644,0,0
"Aconitum dolichorhynchum","W.T.Wang",2618654,0,0
"Aconitum dolichostachyum","W.T.Wang",2618655,0,0
"Aconitum duclouxii","H.Lév.",2618659,0,0
"Aconitum dunhuaense","S.H.Li",2618662,0,0
"Aconitum elliotii","Lauener",2618664,1,1
"Aconitum elwesii","Stapf",2618668,0,0
"Aconitum episcopale","H.Lév.",2618671,4,2
"Aconitum falciforme","Hand.-Mazz.",2618683,0,0
"Aconitum liljestrandii var. fangianum","(W.T.Wang) Y.Luo & Q.E.Yang",2618989,0,0
"Aconitum fanjingshanicum","W.T.Wang",2618689,0,0
"Aconitum finetianum","Hand.-Mazz.",2618698,0,0
"Aconitum fischeri","Rchb.",2618710,28,13
"Aconitum flavum","Hand.-Mazz.",2618716,0,0
"Aconitum fletcherianum","G.Taylor",2618719,0,0
"Aconitum formosanum","Tamura",2618723,2,2
"Aconitum forrestii","Stapf",2618726,2,2
"Aconitum franchetii","Finet & Gagnep.",2618729,0,0
"Aconitum fukutomei","Hayata",2618737,1,1
"Aconitum fusungense","S.H.Li & Y.H.Huang",2618742,0,0
"Aconitum dissectum","D.Don",2618645,1,1
"Aconitum georgei","H.F.Comber",2618753,1,1
"Aconitum glabrisepalum","W.T.Wang",2618765,0,0
"Gymnaconitum gymnandrum","(Maxim.) Wei Wang & Z.D.Chen",2995872,1,1
"Aconitum habaense","W.T.Wang",2618784,0,0
"Aconitum hamatipetalum","W.T.Wang",2618789,0,0
"Aconitum pulchellum var. pulchellum",,3261609,0,0
"Aconitum hemsleyanum","E.Pritz.",2618800,19,8
"Aconitum henryi","E.Pritz. ex Diels",2618812,30,14
"Aconitum hicksii","Lauener",2618825,0,0
"Aconitum huiliense","Hand.-Mazz.",2618839,0,0
"Aconitum ichangense","(Finet & Gagnep.) Hand.-Mazz.",2618846,0,0
"Aconitum incisofidum","W.T.Wang",2618849,0,0
"Aconitum iochanicum","Ulbr.",2618856,0,0
"Aconitum jaluense","Kom.",2618865,4,3
"Aconitum jeholense","Nakai & Kitag.",2618881,0,0
"Aconitum jilongense","W.T.Wang & L.Q.Li",2618884,0,0
"Aconitum liangshanicum","W.T.Wang",2618983,0,0
"Aconitum carmichaelii var. carmichaelii",,3261578,10,8
"Aconitum kagerpuense","W.T.Wang",2618891,0,0
"Aconitum karakolicum","Rapaics",2618899,0,0
"Aconitum kirinense","Nakai",2618905,8,5
"Aconitum kongboense","Lauener",2618926,0,0
