"taxon_name","taxon_authors","accepted_plant_name_id","number_records","number_tdwg3"
"Primulina varicolor","(D.Fang & D.H.Qin) Yin Z.Wang",2903411,0,0
"Primulina verecunda","(Chun) Mich.M?ller & A.Weber",2904839,0,0
"Primulina vestita","(D.Wood) Mich.M?ller & A.Weber",2904840,0,0
"Primulina villosissima","(W.T.Wang) Mich.M?ller & A.Weber",2904841,0,0
"Primulina wangiana","(Z.Yu Li) Mich.M?ller & A.Weber",2904808,0,0
"Primulina wentsaii","(D.Fang & L.Zeng) Yin Z.Wang",2904724,0,0
"Primulina xinningensis","(W.T.Wang) Mich.M?ller & A.Weber",2904831,0,0
"Primulina yungfuensis","(W.T.Wang) Mich.M?ller & A.Weber",2904798,0,0
"Primulina bipinnatifida","(W.T.Wang) Yin Z.Wang & J.M.Li",2904804,0,0
"Primulina confertiflora","(W.T.Wang) Mich.M?ller & A.Weber",2904974,0,0
"Primulina cordifolia","(D.Fang & W.T.Wang) Yin Z.Wang",2904819,0,0
"Primulina danxiaensis","(W.B.Liao, S.S.Lin & R.J.Shen) W.B.Liao & K.F.Chung",2914709,0,0
"Primulina glandulosa","(D.Fang, L.Zeng & D.H.Qin) Yin Z.Wang",2904784,0,0
"Primulina hezhouensis","(W.H.Wu & W.B.Xu) W.B.Xu & K.F.Chung",2914710,0,0
"Primulina jingxiensis","(Yan Liu, W.B.Xu & H.S.Gao) W.B.Xu & K.F.Chung",2914711,0,0
"Primulina lingchuanensis","(Yan Liu & Y.G.Wei) Mich.M?ller & A.Weber",2904781,0,0
"Primulina lobulata","(W.T.Wang) Mich.M?ller & A.Weber",2904751,0,0
"Primulina mollifolia","(D.Fang & W.T.Wang) J.M.Li & Yin Z.Wang",2903409,0,0
"Primulina repanda","(W.T.Wang) Yin Z.Wang",2904823,1,1
"Primulina subulata","(W.T.Wang) Mich.M?ller & A.Weber",2904890,0,0
"Primulina xiuningensis","(X.L.Liu & X.H.Guo) Mich.M?ller & A.Weber",2904797,0,0
"Chisocheton cumingianus","(C.DC.) Harms",2718906,0,0
"Chloranthus angustifolius","Oliv.",2719121,0,0
"Chloranthus anhuiensis","K.F.Wu",2719122,0,0
"Chloranthus erectus","(Buch.-Ham.) Wall.",2719131,20,10
"Chloranthus fortunei","(A.Gray) Solms",2719133,2,1
"Chloranthus henryi","Hemsl.",2719140,2,2
"Chloranthus holostegius","(Hand.-Mazz.) C.Pei & San",2719142,0,0
"Chloranthus serratus","(Thunb.) Roem. & Schult.",2719171,13,12
"Chloranthus multistachys","C.Pei",2719162,1,1
"Chloranthus oldhamii","Solms",2719166,4,3
"Chloranthus sessilifolius","K.F.Wu",2719173,2,2
"Chloranthus spicatus","(Thunb.) Makino",2719175,25,16
"Chloranthus tianmushanensis","K.F.Wu",2719177,0,0
"Chloris barbata","Sw.",404690,21,15
"Chloris formosana","(Honda) Keng",404786,0,0
"Chloris virgata","Sw.",404976,15,8
"Chlorophytum chinense","Bureau & Franch.",302254,2,2
"Chlorophytum laxum","R.Br.",302388,15,8
"Chlorophytum malayense","Ridl.",302423,0,0
"Chlorophytum nepalense","(Lindl.) Baker",302447,9,5
"Choerospondias axillaris","(Roxb.) B.L.Burtt & A.W.Hill",2719279,11,7
"Chondrilla ambigua","Fisch. ex Kar. & Kir.",3056347,0,0
"Chondrilla aspera","Poir.",3056352,1,
"Chondrilla brevirostris","Fisch. & C.A.Mey.",3056356,2,1
"Chondrilla laticoronata","Leonova",3056393,0,0
"Chondrilla lejosperma","Kar. & Kir.",3056398,1,1
"Chondrilla ornata","Iljin",3056404,0,0
"Chondrilla pauciflora","Ledeb.",3056157,2,1
"Chondrilla phaeocephala","Rupr.",3056158,0,0
"Chondrilla piptocoma","Fisch., C.A.Mey. & Avé-Lall.",3056410,1,1
"Chondrilla rouillieri","Kar. & Kir.",3056436,0,0
"Chonemorpha eriostylis","Pit.",39734,0,0
"Chonemorpha floccosa","Tsiang & P.T.Li",39735,0,0
"Chonemorpha fragrans","(Moon) Alston",39736,14,10
"Chonemorpha megacalyx","Pierre ex Spire",39745,0,0
"Chonemorpha parviflora","Tsiang & P.T.Li",39749,0,0
"Chonemorpha splendens","Chun & Tsiang",39755,0,0
"Chonemorpha verrucosa","(Blume) D.J.Middleton",39757,1,1
"Chorispora bungeana","Fisch. & C.A.Mey.",2719489,1,1
"Chorispora greigii","Regel",2719494,0,0
"Chorispora macropoda","Trautv.",2719498,2,2
"Chorispora sibirica","(L.) DC.",2719505,3,2
"Chorispora songarica","Schrenk",2719507,0,0
"Chorispora tashkorganica","Al-Shehbaz & al.",2719511,0,0
"Chorispora tenella","(Pall.) DC.",2719512,13,8
"Salix arbutifolia","Pall.",2918666,11,7
"Uraria campanulata","(Benth.) Gagnep.",2447287,0,0
"Christia constricta","(Schindl.) T.C.Chen",2719763,0,0
"Christia hainanensis","Yen C.Yang & P.H.Huang",2719765,0,0
"Christia obcordata","(Poir.) Bakh.f.",2719768,3,3
"Christia vespertilionis","(L.f.) Bakh.f.",2719774,40,22
"Christolea crassifolia","Cambess.",2719824,1,
"Christolea niyaensis","Z.X.An",2719836,0,0
"Chroesthes lanceolata","(T.Anderson) B.Hansen",2719864,0,0
"Chrozophora sabulosa","Kar. & Kir.",39833,0,0
"Chrysanthemum argyrophyllum","Y.Ling",3107347,0,0
"Chrysanthemum arisanense","Hayata",3107350,0,0
"Chrysanthemum chanetii","H.Lév.",3107357,1,1
"Chrysanthemum dichrum","(C.Shih) H.Ohashi & Yonek.",3107367,0,0
"Chrysanthemum foliaceum","(G.F.Peng, C.Shih & S.Q.Zhang) J.M.Wang & Y.T.Hou",3107369,0,0
"Chrysanthemum glabriusculum","(W.W.Sm.) Hand.-Mazz.",3107373,0,0
"Chrysanthemum horaimontanum","Masam.",3107375,0,0
"Chrysanthemum hypargyreum","Diels",3107379,0,0
"Chrysanthemum indicum","L.",2917095,85,46
"Chrysanthemum lavandulifolium","(Fisch. ex Trautv.) Makino",3107444,2,2
"Chrysanthemum longibracteatum","(C.Shih, G.F.Peng & S.Y.Jin) J.M.Wang & Y.T.Hou",3107382,0,0
"Chrysanthemum maximoviczii","Kom.",3107385,0,0
"Chrysanthemum zawadzkii subsp. peleiolepis","(Trautv.) Zuev",3107522,1,1
"Chrysanthemum morii","Hayata",3107455,0,0
"Chrysanthemum naktongense","Nakai",3107460,7,4
"Chrysanthemum oreastrum","Hance",3107481,3,2
"Chrysanthemum parvifolium","C.C.Chang",3107490,0,0
"Chrysanthemum potentilloides","Hand.-Mazz.",3107492,0,0
"Chrysanthemum rhombifolium","(Y.Ling & C.Shih) H.Ohashi & Yonek.",3107494,0,0
"Chrysanthemum vestitum","(Hemsl.) Stapf",3107295,0,0
"Chrysanthemum zawadzkii","Herbich",3107504,23,10
"Chrysoglossum assamicum","Hook.f.",39901,0,0
"Chrysoglossum ornatum","Blume",39917,2,2
"Chrysopogon aciculatus","(Retz.) Trin.",405042,7,5
"Chrysopogon gryllus","(L.) Trin.",405088,30,13
"Chrysopogon orientalis","(Desv.) A.Camus",405124,0,0
"Chrysosplenium absconditicapsulum","J.T.Pan",2720057,0,0
"Chrysosplenium axillare","Maxim.",2720097,0,0
"Chrysosplenium biondianum","Engl.",2720103,0,0
"Chrysosplenium carnosum","Hook.f. & Thomson",2720107,0,0
"Chrysosplenium cavaleriei","H.Lév. & Vaniot",2720108,0,0
"Chrysosplenium chinense","(H.Hara) J.T.Pan",2720110,0,0
"Chrysosplenium davidianum","Decne. ex Maxim.",2720118,10,7
"Chrysosplenium delavayi","Franch.",2720120,0,0
"Chrysosplenium flagelliferum","F.Schmidt",2720140,0,0
"Chrysosplenium forrestii","Diels",2720145,0,0
"Chrysosplenium fuscopuncticulosum","Z.P.Jien",2720148,0,0
"Chrysosplenium giraldianum","Engl.",2720150,0,0
"Chrysosplenium glossophyllum","H.Hara",2720154,0,0
"Chrysosplenium griffithii","Hook.f. & Thomson",2720161,0,0
"Chrysosplenium hebetatum","Ohwi",2720166,0,0
"Chrysosplenium hydrocotylifolium","H.Lév. & Vaniot",2720169,0,0
"Chrysosplenium japonicum","(Maxim.) Makino",2720173,0,0
"Chrysosplenium jienningense","W.T.Wang",2720176,0,0
"Chrysosplenium lanuginosum","Hook.f. & Thomson",2720185,0,0
"Chrysosplenium lectus-cochleae","Kitag.",2720192,0,0
"Chrysosplenium lixianense","Z.P.Jien ex J.T.Pan",2720193,0,0
"Chrysosplenium macrophyllum","Oliv.",2720198,10,7
"Chrysosplenium microspermum","Franch.",2720206,0,0
"Chrysosplenium nepalense","D.Don",2720212,1,
"Chrysosplenium nudicaule","Bunge",2720220,0,0
"Chrysosplenium oxygraphoides","Hand.-Mazz.",2720230,0,0
"Chrysosplenium pilosum","Maxim.",2720236,0,0
"Chrysosplenium qinlingense","Z.P.Jien ex J.T.Pan",2720250,0,0
"Chrysosplenium ramosum","Maxim.",2720251,0,0
"Chrysosplenium serreanum","Hand.-Mazz.",2720268,0,0
"Chrysosplenium sikangense","H.Hara",2720271,0,0
"Chrysosplenium sinicum","Maxim.",2720273,0,0
"Chrysosplenium taibaishanense","J.T.Pan",2720281,0,0
"Chrysosplenium uniflorum","Maxim.",2720291,0,0
"Chrysosplenium wuwenchenii","Z.P.Jien",2720303,0,0
"Chuanminshen violaceum","M.L.Sheh & R.H.Shan",2720344,0,0
"Chukrasia tabularis","A.Juss.",2720348,25,11
"Chunia bucklandioides","H.T.Chang",2720378,0,0
"Chuniophoenix hainanensis","Burret",40338,7,5
"Cicer microphyllum","Royle ex Benth.",2720591,1,1
"Cicerbita auriculiformis","(C.Shih) N.Kilian",3061424,0,0
"Cicerbita azurea","(Ledeb.) Beauverd",3061430,3,2
"Cicerbita roborowskii","(Maxim.) Beauverd",3061542,0,0
"Cicerbita thianschanica","Beauverd",3061561,4,2
"Cicerbita zhenduoi","(S.W.Liu & T.N.Ho) N.Kilian",3061567,0,0
"Cicuta virosa","L.",2720775,38,18
"Actaea brachycarpa","(P.K.Hsiao) J.Compton",2620516,1,
"Actaea dahurica","(Turcz. ex Fisch. & C.A.Mey.) Franch.",2620530,35,13
"Actaea cimicifuga","L.",2620525,21,12
"Actaea heracleifolia","(Kom.) J.Compton",2620540,9,5
"Actaea japonica","Thunb.",2620541,52,17
"Actaea nanchuanensis","(P.K.Hsiao) J.P.Luo, Q.Yuan & Q.E.Yang",3008605,0,0
"Actaea simplex","(DC.) Wormsk. ex Prantl",2620576,148,37
"Actaea yunnanensis","(P.K.Hsiao) J.Compton",2620598,2,1
"Cinna latifolia","(Trevir. ex G?pp.) Griseb.",405415,8,4
"Cinnamomum appelianum","Schewe",2721114,0,0
"Cinnamomum austrosinense","H.T.Chang",2721131,0,0
"Cinnamomum austroyunnanense","H.W.Li",2721132,0,0
"Cinnamomum bejolghota","(Buch.-Ham.) Sweet",2721146,2,1
"Cinnamomum bodinieri","H.Lév.",2721154,1,
"Cinnamomum burmanni","(Nees & T.Nees) Blume",2721172,37,21
"Cinnamomum camphora","(L.) J.Presl",2721183,326,71
"Neolitsea cassia","(L.) Kosterm.",2383714,9,8
"Cinnamomum chartophyllum","H.W.Li",2721217,0,0
"Cinnamomum contractum","H.W.Li",2721235,0,0
"Cinnamomum foveolatum","(Merr.) H.W.Li & J.Li",2895804,0,0
"Cinnamomum glanduliferum","(Wall.) Meisn.",2721306,12,7
"Cinnamomum heyneanum","Nees",2721335,1,1
"Cinnamomum ilicioides","A.Chev.",2721341,0,0
"Cinnamomum iners","(Reinw. ex Nees & T.Nees) Blume",2721345,16,9
"Cinnamomum javanicum","Blume",2721361,1,1
"Cinnamomum jensenianum","Hand.-Mazz.",2721362,2,2
"Cinnamomum kotoense","Kaneh. & Sasaki",2721377,2,2
"Cinnamomum kwangtungense","Merr.",2721380,0,0
"Cinnamomum liangii","C.K.Allen",2721391,0,0
"Cinnamomum longepaniculatum","(Gamble) N.Chao ex H.W.Li",2721403,0,0
"Cinnamomum longipetiolatum","H.W.Li",2721406,0,0
"Cinnamomum mairei","H.Lév.",2721421,0,0
"Cinnamomum micranthum","(Hayata) Hayata",2721446,0,0
"Cinnamomum migao","H.W.Li",2721452,0,0
"Cinnamomum mollifolium","H.W.Li",2721456,0,0
"Cinnamomum osmophloeum","Kaneh.",2721492,2,1
"Cinnamomum parthenoxylon","(Jack) Meisn.",2721510,12,8
"Cinnamomum tazia","(Buch.-Ham.) Kosterm. ex M.Gangop.",2995090,0,0
"Cinnamomum philippinense","(Merr.) C.E.Chang",2721532,0,0
"Cinnamomum pingbienense","H.W.Li",2721536,0,0
"Cinnamomum pittosporoides","Hand.-Mazz.",2721539,0,0
"Cinnamomum platyphyllum","(Diels) C.K.Allen",2721540,0,0
"Cinnamomum reticulatum","Hayata",2721573,0,0
"Cinnamomum rigidissimum","H.T.Chang",2721581,0,0
"Cinnamomum rufotomentosum","K.M.Lan",2721590,0,0
"Cinnamomum saxatile","H.W.Li",2721600,0,0
"Cinnamomum septentrionale","Hand.-Mazz.",2721607,2,1
"Cinnamomum subavenium","Miq.",2721636,2,2
"Cinnamomum tamala","(Buch.-Ham.) T.Nees & C.H.Eberm.",2721651,15,7
"Cinnamomum tenuipile","Kosterm.",2721658,0,0
"Cinnamomum curvifolium","(Lour.) Nees",2721250,0,0
"Cinnamomum tsangii","Merr.",2721676,0,0
"Cinnamomum tsoi","C.K.Allen",2721677,0,0
"Cinnamomum validinerve","Hance",2721683,0,0
"Cinnamomum wilsonii","Gamble",2721709,2,2
"Cipadessa baccifera","(Roxb. ex Roth) Miq.",2721750,19,12
"Circaea alpina","L.",2721778,22,11
"Circaea canadensis","(L.) Hill",2721801,7,3
"Circaea cordata","Royle",2721812,4,2
"Circaea erubescens","Franch. & Sav.",2721824,0,0
"Circaea glabrescens","(Pamp.) Hand.-Mazz.",2721825,0,0
"Circaea mollis","Siebold & Zucc.",2721891,2,2
"Circaea repens","Wall. ex Asch. & Magnus",2721906,0,0
"Circaea × ovata","(Honda) Boufford",2721895,0,0
"Circaeaster agrestis","Maxim.",40841,1,1
"Cirsium alatum","(S.G.Gmel.) Bobrov",3041293,1,
"Cirsium alberti","Regel & Schmalh.",3041294,0,0
"Cirsium argyracanthum","DC.",3041347,0,0
"Cirsium arvense","(L.) Scop.",2901650,33,14
"Lophiolepis mairei","(H.Lév.) Bure?, Del Guacchio, Iamonico & P.Caputo",3292530,0,0
"Cirsium bracteiferum","C.Shih",3041440,0,0
"Cirsium chinense","Gardner & Champ.",3041515,0,0
"Cirsium taliense","(Jeffrey) H.Lév.",3041818,0,0
"Lophiolepis nishiokae","(Kitam.) Del Guacchio, Bure?, Iamonico & P.Caputo",3292719,0,0
"Cirsium eriophoroides","(Hook.f.) Petr.",3041676,2,2
"Cirsium esculentum","(Siev.) C.A.Mey.",3041462,3,2
"Cirsium leo","Nakai & Kitag.",3041738,0,0
"Cirsium fanjingshanense","C.Shih",3041718,0,0
"Cirsium fargesii","(Franch.) Diels",3041741,1,1
"Cirsium fuscotrichum","C.C.Chang",3041775,0,0
"Cirsium × glabrifolium","(C.Winkl.) Petr.",3041784,0,0
"Cirsium handelii","Petr.",3041803,0,0
"Cirsium helenioides","(L.) Hill",3041815,20,11
"Cirsium henryi","(Franch.) Diels",3041822,1,1
"Lophiolepis griffithii","(Hook.f.) Bure?, Del Guacchio, Iamonico & P.Caputo",3292861,0,0
"Cirsium japonicum","DC.",2901616,18,10
"Cirsium leducii","H.Lév.",3041735,0,0
"Lophiolepis lidjiangensis","(Petr. & Hand.-Mazz.) Bure?, Del Guacchio, Iamonico & P.Caputo",3292603,0,0
"Cirsium lineare","(Thunb.) Sch.Bip.",3042037,0,0
"Cirsium maackii","Maxim.",3042064,1,1
"Cirsium monocephalum","H.Lév.",3041977,0,0
"Cirsium muliense","C.Shih",3042088,0,0
"Cirsium pendulum","Fisch. ex DC.",3042272,1,1
"Cirsium periacanthaceum","C.Shih",3042273,0,0
"Cirsium racemiforme","Y.Ling & C.Shih",3042366,0,0
"Cirsium sairamense","O.Fedtsch. & B.Fedtsch.",3042466,0,0
"Cirsium schantarense","Trautv. & C.A.Mey.",3042512,0,0
"Cirsium semenowii","Regel",3042521,0,0
"Cirsium serratuloides","(L.) Hill",3042526,5,4
"Cirsium shansiense","Petr.",3042536,1,1
"Cirsium shihianum","Greuter",3042539,0,0
"Cirsium sieversii","(Fisch. & C.A.Mey.) Petr.",3042554,1,1
"Cirsium souliei","(Franch.) Mattf. ex Rehder & Kobuski",3042593,1,1
"Lophiolepis subulariformis","(C.Shih) Bure?, Del Guacchio, Iamonico & P.Caputo",3292526,0,0
"Cirsium tianmushanicum","C.Shih",3042318,0,0
"Cirsium vernonioides","C.Shih",3042699,0,0
"Lophiolepis veruta","(D.Don) Bure?, Del Guacchio, Iamonico & P.Caputo",3292692,0,0
"Cirsium viridifolium","(Hand.-Mazz.) C.Shih",3042717,0,0
"Cirsium vlassovianum","Fisch. ex DC.",3042722,0,0
"Cirsium vulgare","(Savi) Ten.",3042723,23,8
"Cissampelopsis buimalia","(Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen",3086692,0,0
"Cissampelopsis corifolia","C.Jeffrey & Y.L.Chen",3086695,0,0
"Cissampelopsis erythrochaeta","C.Jeffrey & Y.L.Chen",3085238,0,0
"Cissampelopsis glandulosa","C.Jeffrey & Y.L.Chen",3085696,0,0
"Cissampelopsis spelaeicola","(Vaniot) C.Jeffrey & Y.L.Chen",3085699,0,0
"Cissampelopsis volubilis","(Blume) Miq.",3086701,1,1
"Cissampelos pareira","L.",2722039,17,12
"Cissus adnata","Roxb.",2722130,5,3
"Cissus aristata","Blume",2722186,0,0
"Cissus assamica","(M.A.Lawson) Craib",2722194,0,0
"Cissus austroyunnanensis","Y.H.Li & Y.Zhang",2722203,0,0
"Cissus elongata","Roxb.",2722386,0,0
"Cissus hexangularis","Thorel ex Planch.",2722506,0,0
"Cissus discolor","Blume",2722364,65,34
"Cissus kerrii","Craib",2722562,1,
"Cissus luzoniensis","(Merr.) C.L.Li",2722615,0,0
"Cissus pteroclada","Hayata",2722819,0,0
"Cissus repanda","(Wight & Arn.) Vahl",2722846,1,1
"Cissus repens","Lam.",2722848,4,3
"Cissus triloba","(Lour.) Merr.",2723065,0,0
"Cissus wenshanensis","C.L.Li",2723132,0,0
"Cistanche deserticola","Ma",2723155,1,1
"Cistanche lanzhouensis","Z.Y.Zhang",2723163,0,0
"Cistanche mongolica","Beck",2723170,0,0
"Cistanche salsa","(C.A.Mey.) Beck",2723176,1,1
"Cistanche sinensis","Beck",2723180,0,0
"Cithareloma vernum","Bunge",2723737,0,0
"Citrus cavaleriei","H.Lév. ex Cavalerie",2724045,11,10
"Citrus hystrix","DC.",2724129,63,28
"Citrus japonica","Thunb.",2724150,159,56
"Citrus trifoliata","L.",2724403,226,54
"Cladopus doianus","(Koidz.) K?riba",2724534,0,0
"Cladopus nymanii","H.M?ller",2724540,0,0
"Platyosprion platycarpum","(Maxim.) Maxim.",2539357,14,12
"Cladrastis delavayi","(Franch.) Prain",2724582,28,15
"Cladrastis wilsonii","Takeda",2724599,5,4
"Claoxylon brachyandrum","Pax & K.Hoffm.",41415,0,0
"Claoxylon hainanense","Pax & K.Hoffm.",41468,0,0
"Claoxylon indicum","(Reinw. ex Blume) Hassk.",41481,7,4
"Claoxylon khasianum","Hook.f.",41494,0,0
"Claoxylon longifolium","(Blume) Endl. ex Hassk.",41511,2,2
"Claoxylon subsessiliflorum","Croizat",41617,0,0
"Clausena anisata","(Willd.) Hook.f. ex Benth.",2724765,24,11
"Clausena emarginata","C.C.Huang",2724789,0,0
"Clausena excavata","Burm.f.",2724793,17,12
"Clausena hainanensis","C.C.Huang & W.F.Xing",2724799,0,0
"Clausena lansium","(Lour.) Skeels",2724817,41,23
"Clausena lenis","Drake",2724819,0,0
"Clausena yunnanensis","C.C.Huang",2724861,0,0
"Clausia trichosepala","(Turcz.) Dvo?ák",2724881,0,0
"Cleghornia malaccensis","(Hook.f.) King & Gamble",41677,0,0
"Cleidiocarpon cavaleriei","(H.Lév.) Airy Shaw",41681,0,0
"Cleidion bracteosum","Gagnep.",41689,0,0
"Cleidion brevipetiolatum","Pax & K.Hoffm.",41690,0,0
"Cleisostoma filiforme","(Lindl.) Garay",41843,3,3
"Cleisostoma fuerstenbergianum","Kraenzl.",41852,5,3
"Cleisostoma linearilobatum","(Seidenf. & Smitinand) Garay",41884,4,2
"Cleisostoma longioperculatum","Z.H.Tsi",41887,0,0
"Cleisostoma medogense","Z.H.Tsi",41897,0,0
"Cleisostoma menghaiense","Z.H.Tsi",41898,0,0
"Cleisostoma nangongense","Z.H.Tsi",41904,0,0
"Cleisostoma paniculatum","(Ker Gawl.) Garay",41913,2,1
"Cleisostoma parishii","(Hook.f.) Garay",41914,0,0
"Cleisostoma racemiferum","(Lindl.) Garay",41931,5,4
"Cleisostoma rostratum","(Lindl.) Garay",41941,11,7
"Cleisostoma simondii","(Gagnep.) Seidenf.",41956,6,4
"Cleisostoma striatum","(Rchb.f.) N.E.Br.",41962,1,1
"Cleisostoma uraiense","(Hayata) Garay & H.R.Sweet",41987,0,0
"Cleisostoma williamsonii","(Rchb.f.) Garay",41995,2,2
"Cleistanthus concinnus","Croizat",42041,0,0
"Cleistanthus macrophyllus","Hook.f.",42115,0,0
"Cleistanthus pedicellatus","Hook.f.",42162,0,0
"Cleistanthus petelotii","Merr. ex Croizat",42168,0,0
"Cleistanthus sumatranus","(Miq.) Müll.Arg.",42220,2,2
"Cleistanthus tomentosus","Hance",42222,0,0
"Cleistanthus tonkinensis","Jabl.",42223,0,0
"Cleistogenes caespitosa","Keng",405460,0,0
"Cleistogenes festucacea","Honda",405463,0,0
"Cleistogenes hackelii","(Honda) Honda",405467,0,0
"Cleistogenes hancei","Keng",405471,0,0
"Cleistogenes kitagawae","Honda",405473,0,0
"Cleistogenes mucronata","Keng ex Keng f. & L.Liou",405478,0,0
"Cleistogenes polyphylla","Keng ex Keng f. & L.Liou",405484,0,0
"Cleistogenes songorica","(Roshev.) Ohwi",405495,0,0
"Cleistogenes squarrosa","(Trin.) Keng",405496,0,0
"Clematis acerifolia","Maxim.",2725535,0,0
"Clematis acuminata","DC.",2725538,0,0
"Clematis aethusifolia","Turcz.",2725552,13,8
"Clematis akebioides","(Maxim.) H.J.Veitch",2725559,11,6
"Clematis akoensis","Hayata",2725560,0,0
"Clematis alternata","Kitam. & Tamura",2725581,1,1
"Clematis apiifolia","DC.",2725609,35,20
"Clematis armandi","Franch.",2725649,56,25
"Clematis baominiana","W.T.Wang",2725674,0,0
"Clematis barbellata","Edgew.",2725676,5,2
"Clematis brevicaudata","DC.",2725722,26,10
"Clematis brevipes","Rehder",2725730,0,0
"Clematis buchananiana","DC.",2725732,8,4
"Clematis burmanica","Lace",2725740,1,1
"Clematis cadmia","Buch.-Ham. ex Hook.f. & Thomson",2725742,2,1
"Clematis caudigera","W.T.Wang",2725766,0,0
"Clematis chekiangensis","C.Pei",2725771,0,0
"Clematis chinensis","Osbeck",2725774,5,3
"Clematis chingii","W.T.Wang",2725781,0,0
"Clematis chiupehensis","M.Y.Fang",2725782,0,0
"Clematis chrysocoma","Franch.",2725793,23,12
"Clematis clarkeana","H.Lév. & Vaniot",2725816,0,0
"Clematis connata","DC.",2725843,8,5
"Clematis corniculata","W.T.Wang",2725859,0,0
"Clematis courtoisii","Hand.-Mazz.",2725861,0,0
"Clematis crassifolia","Benth.",2725863,3,2
"Clematis crassipes","Chun & F.C.How",2725864,0,0
"Clematis dasyandra","Maxim.",2725876,1,1
"Clematis delavayi","Franch.",2725881,0,0
"Clematis dilatata","C.Pei",2725889,0,0
"Clematis fasciculiflora","Franch.",2725975,7,5
"Clematis fengii","W.T.Wang",2725982,0,0
"Clematis finetiana","H.Lév. & Vaniot",2725986,3,3
"Clematis florida","Thunb.",2726000,126,41
"Clematis formosana","Kuntze",2726007,0,0
"Clematis fruticosa","Turcz.",2726017,5,4
"Clematis fulvicoma","Rehder & E.H.Wilson",2726029,0,0
"Clematis fusca","Turcz.",2726032,32,16
"Clematis hastata","Finet & Gagnep.",2726107,0,0
"Clematis glauca","Willd.",2726055,31,12
"Clematis gouriana","Roxb. ex DC.",2726069,21,11
"Clematis gracilifolia","Rehder & E.H.Wilson",2726074,5,3
"Clematis grandidentata","(Rehder & E.H.Wilson) W.T.Wang",2726081,3,
"Clematis grata","Wall.",2726086,6,3
"Clematis gratopsis","W.T.Wang",2726092,4,2
"Clematis grewiiflora","DC.",2726096,2,
"Clematis leschenaultiana","DC.",2726267,1,1
"Clematis hancockiana","Maxim.",2726105,0,0
"Clematis heracleifolia","DC.",2726122,85,27
"Clematis hexapetala","Pall.",2726127,7,5
"Clematis huchouensis","Tamura",2726163,1,1
"Clematis hupehensis","Hemsl. & E.H.Wilson",2726164,0,0
"Clematis alpina var. iliensis","(Y.S.Hou & W.H.Hou) W.J.Yang & L.Q.Li",2899536,0,0
"Clematis integrifolia","L.",2726179,183,45
"Clematis intricata","Bunge",2726192,7,5
"Clematis javana","DC.",2726208,9,8
"Clematis jialasaensis","W.T.Wang",2726211,0,0
"Clematis jingdungensis","W.T.Wang",2726213,0,0
"Clematis lasiandra","Maxim.",2726254,14,8
"Clematis kirilowii","Maxim.",2726228,6,5
"Clematis kockiana","C.K.Schneid.",2726235,0,0
"Clematis koreana","Kom.",2726238,48,23
"Clematis kweichouwensis","C.Pei",2726246,0,0
"Clematis lancifolia","Bureau & Franch.",2726251,0,0
"Clematis lanuginosa","Lindl.",2726253,59,24
"Clematis laxistrigosa","(W.T.Wang & M.C.Chang) W.T.Wang",2726264,0,0
"Clematis liboensis","Z.R.Xu",2726271,0,0
"Clematis lingyunensis","W.T.Wang",2726281,0,0
"Clematis liuzhouensis","Y.G.Wei & C.R.Lin",2899467,0,0
"Clematis longistyla","Hand.-Mazz.",2726292,0,0
"Clematis loureiroana","DC.",2726293,0,0
"Clematis lushuiensis","W.T.Wang",2895823,0,0
"Clematis macropetala","Ledeb.",2726301,78,31
"Clematis mashanensis","W.T.Wang",2726319,0,0
"Clematis menglaensis","M.C.Chang",2726337,0,0
"Clematis metouensis","M.Y.Fang",2726339,0,0
"Clematis meyeniana","Walp.",2726340,4,1
"Clematis moisseenkoi","(Serov) W.T.Wang",2726360,0,0
"Clematis montana","Buch.-Ham. ex DC.",2726363,243,40
"Clematis morii","Hayata",2726401,1,1
"Clematis nannophylla","Maxim.",2726407,0,0
"Clematis napaulensis","DC.",2726411,14,8
"Clematis napoensis","W.T.Wang",2726412,0,0
"Clematis ningjingshanica","W.T.Wang",2726417,0,0
"Clematis nukiangensis","M.Y.Fang",2726421,0,0
"Clematis obscura","Maxim.",2726426,0,0
"Clematis orientalis","L.",2726456,103,29
"Clematis otophora","Franch. ex Finet & Gagnep.",2726493,2,2
"Clematis pamiralaica","Grey-Wilson",2726503,0,0
"Clematis parviloba","Gardner & Champ.",2726518,1,1
"Clematis pashanensis","(M.C.Chang) W.T.Wang",2726527,0,0
"Clematis patens","C.Morren & Decne.",2726529,55,23
"Clematis peterae","Hand.-Mazz.",2726546,3,2
"Clematis pianmaensis","W.T.Wang",2726555,0,0
"Clematis pinchuanensis","W.T.Wang & M.Y.Fang",2726564,0,0
"Clematis pinnata","Maxim.",2726568,0,0
"Clematis pogonandra","Maxim.",2726581,1,1
"Clematis potaninii","Maxim.",2726592,32,14
"Clematis pseudootophora","M.Y.Fang",2726607,0,0
"Clematis pseudopogonandra","Finet & Gagnep.",2726609,0,0
"Clematis psilandra","Kitag.",2726612,1,1
"Clematis pterantha","Dunn",2726613,0,0
"Clematis puberula","Hook.f. & Thomson",2726615,0,0
"Clematis qingchengshanica","W.T.Wang",2726626,0,0
