response,effect,component,group,term,estimate,std.error,conf.low,conf.high,dir,hyp,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star,model
culforeigntdwg3scaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.1921824011261566,0.018461551128694017,0.15547429967474036,0.22867207552077404, > 0,culforeigntdwg3scaled_cul.China.tdwg3.scaled > 0,(culforeigntdwg3scaled_cul.China.tdwg3.scaled) > 0,0.1921824011261566,0.018461551128694017,0.16229313929746403,0.2224543656440438,Inf,1,*,model_nat.annual_herb
culforeigntdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.5746170942806268,0.01856845520093523,0.5372837531382381,0.6105763563814403, > 0,culforeigntdwg3scaled_native.global.tdwg3.scaled > 0,(culforeigntdwg3scaled_native.global.tdwg3.scaled) > 0,0.5746170942806268,0.01856845520093523,0.544327982651898,0.6051818060488069,Inf,1,*,model_nat.annual_herb
natextentscaled,fixed,cond,NA,cul.foreign.tdwg3.scaled,0.5947427900044011,0.01967032253437068,0.5573635864844434,0.6337163321109605, > 0,natextentscaled_cul.foreign.tdwg3.scaled > 0,(natextentscaled_cul.foreign.tdwg3.scaled) > 0,0.5947427900044011,0.01967032253437068,0.562665996096336,0.6273957917984234,Inf,1,*,model_nat.annual_herb
natextentscaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.0288204407782074,0.016372069600557912,-0.004303861976405306,0.06110635181849542, > 0,natextentscaled_cul.China.tdwg3.scaled > 0,(natextentscaled_cul.China.tdwg3.scaled) > 0,0.0288204407782074,0.016372069600557912,0.0014677394858344799,0.05562758691190473,22.529411764705884,0.9575,*,model_nat.annual_herb
natextentscaled,fixed,cond,NA,native.global.tdwg3.scaled,0.2194151635326424,0.019759115846263345,0.18128190268811537,0.2581165599685203, > 0,natextentscaled_native.global.tdwg3.scaled > 0,(natextentscaled_native.global.tdwg3.scaled) > 0,0.2194151635326424,0.019759115846263345,0.18670825369373553,0.2513574057286429,Inf,1,*,model_nat.annual_herb
culChinatdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.8888472637470441,0.014473700836390302,0.8609204459552346,0.917061781212981, > 0,culChinatdwg3scaled_sd__Observation > 0,(culChinatdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.annual_herb
culforeigntdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.7295394428049745,0.011524856763296572,0.7074803640047455,0.7532622064903166, > 0,culforeigntdwg3scaled_sd__Observation > 0,(culforeigntdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.annual_herb
natextentscaled,ran_pars,cond,Residual,sd__Observation,0.6352393154835254,0.009851139238665494,0.6158505560470379,0.6545301133075528, > 0,natextentscaled_sd__Observation > 0,(natextentscaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.annual_herb
culChinatdwg3scaled,fixed,cond,NA,(Intercept),-9.615562401554487e-5,0.007927987952742768,-0.015681090609588385,0.01557839586411895, < 0,culChinatdwg3scaled_(Intercept) < 0,(culChinatdwg3scaled_(Intercept)) < 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
culforeigntdwg3scaled,fixed,cond,NA,(Intercept),2.5100486128910144e-5,0.006459570255922649,-0.01251090412791309,0.01283729923297718, > 0,culforeigntdwg3scaled_(Intercept) > 0,(culforeigntdwg3scaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
natextentscaled,fixed,cond,NA,(Intercept),5.455439475009545e-5,0.007190347224492343,-0.01404593114752058,0.014178017916283234, > 0,natextentscaled_(Intercept) > 0,(natextentscaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
culChinatdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.3755740432154513,0.00798569536366009,0.359770970342915,0.39171500640486306, > 0,culChinatdwg3scaled_native.global.tdwg3.scaled > 0,(culChinatdwg3scaled_native.global.tdwg3.scaled) > 0,0.3755740432154513,0.00798569536366009,0.36234352396269365,0.38872141264901744,Inf,1,*,model_nat.perennial_herb
culforeigntdwg3scaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.35825043860228384,0.007002971814507258,0.3443230186304773,0.3720366243461811, > 0,culforeigntdwg3scaled_cul.China.tdwg3.scaled > 0,(culforeigntdwg3scaled_cul.China.tdwg3.scaled) > 0,0.35825043860228384,0.007002971814507258,0.3467664272322459,0.37015483872818744,Inf,1,*,model_nat.perennial_herb
culforeigntdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.425265585225352,0.007099628157081954,0.4111867034212545,0.4390854405658225, > 0,culforeigntdwg3scaled_native.global.tdwg3.scaled > 0,(culforeigntdwg3scaled_native.global.tdwg3.scaled) > 0,0.425265585225352,0.007099628157081954,0.4136734224396036,0.4370229618833994,Inf,1,*,model_nat.perennial_herb
natextentscaled,fixed,cond,NA,cul.foreign.tdwg3.scaled,0.39008821830976664,0.009291741379262721,0.3719514246116581,0.40831346735012797, > 0,natextentscaled_cul.foreign.tdwg3.scaled > 0,(natextentscaled_cul.foreign.tdwg3.scaled) > 0,0.39008821830976664,0.009291741379262721,0.37448103377860836,0.40534838757252495,Inf,1,*,model_nat.perennial_herb
natextentscaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.013811730895205314,0.00857945050358439,-0.002616681485037673,0.030542629886626906, > 0,natextentscaled_cul.China.tdwg3.scaled > 0,(natextentscaled_cul.China.tdwg3.scaled) > 0,0.013811730895205314,0.00857945050358439,-1.8123551740900263e-4,0.02789646779107373,17.867924528301888,0.947,,model_nat.perennial_herb
natextentscaled,fixed,cond,NA,native.global.tdwg3.scaled,0.2065568142416234,0.008554557316869521,0.19025503736427188,0.2238909244773278, > 0,natextentscaled_native.global.tdwg3.scaled > 0,(natextentscaled_native.global.tdwg3.scaled) > 0,0.2065568142416234,0.008554557316869521,0.19269905717567962,0.22090747933419147,Inf,1,*,model_nat.perennial_herb
culChinatdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.9270729121013712,0.005749230218626935,0.9156597443435877,0.9383521010014071, > 0,culChinatdwg3scaled_sd__Observation > 0,(culChinatdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.perennial_herb
